indicator,country,year,value,region
Government Effectiveness: Estimate,Sao Tome and Principe,2003,-0.666085243,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2004,-0.623378932,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2005,-0.712691844,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2006,-0.814312458,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2007,-0.69588387,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2008,-0.645823896,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2009,-0.682451606,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2010,-0.807516754,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2011,-0.708884001,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2012,-0.716646373,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2013,-0.744410872,Central
Government Effectiveness: Estimate,Sao Tome and Principe,2014,-0.859601378,Central
Government Effectiveness: Estimate,Senegal,1996,0.021948785,Western
Government Effectiveness: Estimate,Senegal,1998,-0.122760765,Western
Government Effectiveness: Estimate,Senegal,2000,-0.123345196,Western
Government Effectiveness: Estimate,Senegal,2002,0.020684306,Western
Government Effectiveness: Estimate,Senegal,2003,-0.258981109,Western
Government Effectiveness: Estimate,Senegal,2004,-0.178465128,Western
Government Effectiveness: Estimate,Senegal,2005,-0.24639684,Western
Government Effectiveness: Estimate,Senegal,2006,-0.317244828,Western
Government Effectiveness: Estimate,Senegal,2007,-0.462705523,Western
Government Effectiveness: Estimate,Senegal,2008,-0.136879817,Western
Government Effectiveness: Estimate,Senegal,2009,-0.495851696,Western
Government Effectiveness: Estimate,Senegal,2010,-0.557570219,Western
Government Effectiveness: Estimate,Senegal,2011,-0.467930257,Western
Government Effectiveness: Estimate,Senegal,2012,-0.470866412,Western
Government Effectiveness: Estimate,Senegal,2013,-0.420023382,Western
Government Effectiveness: Estimate,Senegal,2014,-0.39127332,Western
Government Effectiveness: Estimate,Seychelles,1996,0.646413982,Eastern
Government Effectiveness: Estimate,Seychelles,1998,0.227151245,Eastern
Government Effectiveness: Estimate,Seychelles,2000,-0.027615303,Eastern
Government Effectiveness: Estimate,Seychelles,2002,0.071507223,Eastern
Government Effectiveness: Estimate,Seychelles,2003,-0.013950141,Eastern
Government Effectiveness: Estimate,Seychelles,2004,-0.001934684,Eastern
Government Effectiveness: Estimate,Seychelles,2005,0.097938031,Eastern
Government Effectiveness: Estimate,Seychelles,2006,0.013429581,Eastern
Government Effectiveness: Estimate,Seychelles,2007,0.125785246,Eastern
Government Effectiveness: Estimate,Seychelles,2008,0.093551062,Eastern
Government Effectiveness: Estimate,Seychelles,2009,0.101324573,Eastern
Government Effectiveness: Estimate,Seychelles,2010,0.181528509,Eastern
Government Effectiveness: Estimate,Seychelles,2011,0.25583756,Eastern
Government Effectiveness: Estimate,Seychelles,2012,0.375671357,Eastern
Government Effectiveness: Estimate,Seychelles,2013,0.335487902,Eastern
Government Effectiveness: Estimate,Seychelles,2014,0.391160458,Eastern
Government Effectiveness: Estimate,Sierra Leone,1996,-1.465628982,Western
Government Effectiveness: Estimate,Sierra Leone,1998,-1.456785083,Western
Government Effectiveness: Estimate,Sierra Leone,2000,-1.460102439,Western
Government Effectiveness: Estimate,Sierra Leone,2002,-1.514303088,Western
Government Effectiveness: Estimate,Sierra Leone,2003,-1.231041431,Western
Government Effectiveness: Estimate,Sierra Leone,2004,-1.10167098,Western
Government Effectiveness: Estimate,Sierra Leone,2005,-1.357607126,Western
Government Effectiveness: Estimate,Sierra Leone,2006,-1.164291739,Western
Government Effectiveness: Estimate,Sierra Leone,2007,-1.172979116,Western
Government Effectiveness: Estimate,Sierra Leone,2008,-1.161668658,Western
Government Effectiveness: Estimate,Sierra Leone,2009,-1.215446711,Western
Government Effectiveness: Estimate,Sierra Leone,2010,-1.209946156,Western
Government Effectiveness: Estimate,Sierra Leone,2011,-1.184462428,Western
Government Effectiveness: Estimate,Sierra Leone,2012,-1.204361677,Western
Government Effectiveness: Estimate,Sierra Leone,2013,-1.207073569,Western
Government Effectiveness: Estimate,Sierra Leone,2014,-1.222039461,Western
Government Effectiveness: Estimate,Somalia,1996,-2.095173597,Eastern
Government Effectiveness: Estimate,Somalia,1998,-2.159305334,Eastern
Government Effectiveness: Estimate,Somalia,2000,-2.276713848,Eastern
Government Effectiveness: Estimate,Somalia,2002,-1.596729636,Eastern
Government Effectiveness: Estimate,Somalia,2003,-2.101786375,Eastern
Government Effectiveness: Estimate,Somalia,2004,-2.092023611,Eastern
Government Effectiveness: Estimate,Somalia,2005,-2.172751427,Eastern
Government Effectiveness: Estimate,Somalia,2006,-2.314868212,Eastern
Government Effectiveness: Estimate,Somalia,2007,-2.340005875,Eastern
Government Effectiveness: Estimate,Somalia,2008,-2.450037479,Eastern
Government Effectiveness: Estimate,Somalia,2009,-2.260679245,Eastern
Government Effectiveness: Estimate,Somalia,2010,-2.238668919,Eastern
Government Effectiveness: Estimate,Somalia,2011,-2.155194044,Eastern
Government Effectiveness: Estimate,Somalia,2012,-2.22544384,Eastern
Government Effectiveness: Estimate,Somalia,2013,-2.269524097,Eastern
Government Effectiveness: Estimate,Somalia,2014,-2.479668617,Eastern
Government Effectiveness: Estimate,South Africa,1996,0.87650758,Southern
Government Effectiveness: Estimate,South Africa,1998,0.604138494,Southern
Government Effectiveness: Estimate,South Africa,2000,0.69141084,Southern
Government Effectiveness: Estimate,South Africa,2002,0.637902141,Southern
Government Effectiveness: Estimate,South Africa,2003,0.683100045,Southern
Government Effectiveness: Estimate,South Africa,2004,0.664746284,Southern
Government Effectiveness: Estimate,South Africa,2005,0.644622147,Southern
Government Effectiveness: Estimate,South Africa,2006,0.503360152,Southern
Government Effectiveness: Estimate,South Africa,2007,0.491571963,Southern
Government Effectiveness: Estimate,South Africa,2008,0.518115222,Southern
Government Effectiveness: Estimate,South Africa,2009,0.475550622,Southern
Government Effectiveness: Estimate,South Africa,2010,0.392681032,Southern
Government Effectiveness: Estimate,South Africa,2011,0.412725568,Southern
Government Effectiveness: Estimate,South Africa,2012,0.325196862,Southern
Government Effectiveness: Estimate,South Africa,2013,0.382242352,Southern
Government Effectiveness: Estimate,South Africa,2014,0.328388512,Southern
Government Effectiveness: Estimate,South Sudan,1996,null,Eastern
Government Effectiveness: Estimate,South Sudan,1998,null,Eastern
Government Effectiveness: Estimate,South Sudan,2000,null,Eastern
Government Effectiveness: Estimate,South Sudan,2002,null,Eastern
Government Effectiveness: Estimate,South Sudan,2003,null,Eastern
Government Effectiveness: Estimate,South Sudan,2004,null,Eastern
Government Effectiveness: Estimate,South Sudan,2005,null,Eastern
Government Effectiveness: Estimate,South Sudan,2006,null,Eastern
Government Effectiveness: Estimate,South Sudan,2007,null,Eastern
Government Effectiveness: Estimate,South Sudan,2008,null,Eastern
Government Effectiveness: Estimate,South Sudan,2009,null,Eastern
Government Effectiveness: Estimate,South Sudan,2010,null,Eastern
Government Effectiveness: Estimate,South Sudan,2011,-1.874722242,Eastern
Government Effectiveness: Estimate,South Sudan,2012,-1.594489217,Eastern
Government Effectiveness: Estimate,South Sudan,2013,-1.679691553,Eastern
Government Effectiveness: Estimate,South Sudan,2014,-2.125386477,Eastern
Government Effectiveness: Estimate,Sudan,1996,-1.116031885,Eastern
Government Effectiveness: Estimate,Sudan,1998,-1.216289878,Eastern
Government Effectiveness: Estimate,Sudan,2000,-1.18821013,Eastern
Government Effectiveness: Estimate,Sudan,2002,-1.132410169,Eastern
Government Effectiveness: Estimate,Sudan,2003,-1.251730084,Eastern
Government Effectiveness: Estimate,Sudan,2004,-1.222835183,Eastern
Government Effectiveness: Estimate,Sudan,2005,-1.400659323,Eastern
Government Effectiveness: Estimate,Sudan,2006,-1.142037392,Eastern
Government Effectiveness: Estimate,Sudan,2007,-1.081776381,Eastern
Government Effectiveness: Estimate,Sudan,2008,-1.27090776,Eastern
Government Effectiveness: Estimate,Sudan,2009,-1.267365575,Eastern
Government Effectiveness: Estimate,Sudan,2010,-1.367201447,Eastern
Government Effectiveness: Estimate,Sudan,2011,-1.3904562,Eastern
Government Effectiveness: Estimate,Sudan,2012,-1.457651496,Eastern
Government Effectiveness: Estimate,Sudan,2013,-1.511144519,Eastern
Government Effectiveness: Estimate,Sudan,2014,-1.606815577,Eastern
Government Effectiveness: Estimate,Swaziland,1996,-0.672069907,Southern
Government Effectiveness: Estimate,Swaziland,1998,-0.650809348,Southern
Government Effectiveness: Estimate,Swaziland,2000,-0.711142838,Southern
Government Effectiveness: Estimate,Swaziland,2002,-0.58104074,Southern
Government Effectiveness: Estimate,Swaziland,2003,-0.816290557,Southern
Government Effectiveness: Estimate,Swaziland,2004,-1.050332546,Southern
Government Effectiveness: Estimate,Swaziland,2005,-1.0899266,Southern
Government Effectiveness: Estimate,Swaziland,2006,-0.835898757,Southern
Government Effectiveness: Estimate,Swaziland,2007,-0.847130775,Southern
Government Effectiveness: Estimate,Swaziland,2008,-0.742405772,Southern
Government Effectiveness: Estimate,Swaziland,2009,-0.747419238,Southern
Government Effectiveness: Estimate,Swaziland,2010,-0.517714977,Southern
Government Effectiveness: Estimate,Swaziland,2011,-0.667594314,Southern
Government Effectiveness: Estimate,Swaziland,2012,-0.549251437,Southern
Government Effectiveness: Estimate,Swaziland,2013,-0.451663375,Southern
Government Effectiveness: Estimate,Swaziland,2014,-0.531717181,Southern
Government Effectiveness: Estimate,Tanzania,1996,-0.727993131,Eastern
Government Effectiveness: Estimate,Tanzania,1998,-0.419241458,Eastern
Government Effectiveness: Estimate,Tanzania,2000,-0.419936866,Eastern
Government Effectiveness: Estimate,Tanzania,2002,-0.402417898,Eastern
Government Effectiveness: Estimate,Tanzania,2003,-0.36835295,Eastern
Government Effectiveness: Estimate,Tanzania,2004,-0.418733388,Eastern
Government Effectiveness: Estimate,Tanzania,2005,-0.387366444,Eastern
Government Effectiveness: Estimate,Tanzania,2006,-0.338748902,Eastern
Government Effectiveness: Estimate,Tanzania,2007,-0.37733534,Eastern
Government Effectiveness: Estimate,Tanzania,2008,-0.478692472,Eastern
Government Effectiveness: Estimate,Tanzania,2009,-0.59327054,Eastern
Government Effectiveness: Estimate,Tanzania,2010,-0.577815652,Eastern
Government Effectiveness: Estimate,Tanzania,2011,-0.625867069,Eastern
Government Effectiveness: Estimate,Tanzania,2012,-0.692533612,Eastern
Government Effectiveness: Estimate,Tanzania,2013,-0.745238543,Eastern
Government Effectiveness: Estimate,Tanzania,2014,-0.64241451,Eastern
Government Effectiveness: Estimate,Togo,1996,-0.801710367,Western
Government Effectiveness: Estimate,Togo,1998,-0.97715348,Western
Government Effectiveness: Estimate,Togo,2000,-1.240850568,Western
Government Effectiveness: Estimate,Togo,2002,-1.370724797,Western
Government Effectiveness: Estimate,Togo,2003,-1.545603395,Western
Government Effectiveness: Estimate,Togo,2004,-1.604685426,Western
Government Effectiveness: Estimate,Togo,2005,-1.497659326,Western
Government Effectiveness: Estimate,Togo,2006,-1.568111658,Western
Government Effectiveness: Estimate,Togo,2007,-1.51173985,Western
Government Effectiveness: Estimate,Togo,2008,-1.468953729,Western
Government Effectiveness: Estimate,Togo,2009,-1.391176462,Western
Government Effectiveness: Estimate,Togo,2010,-1.384471536,Western
Government Effectiveness: Estimate,Togo,2011,-1.359987855,Western
Government Effectiveness: Estimate,Togo,2012,-1.325619221,Western
Government Effectiveness: Estimate,Togo,2013,-1.315040588,Western
Government Effectiveness: Estimate,Togo,2014,-1.258784652,Western
Government Effectiveness: Estimate,Uganda,1996,-0.727993131,Eastern
Government Effectiveness: Estimate,Uganda,1998,-0.387812525,Eastern
Government Effectiveness: Estimate,Uganda,2000,-0.382698685,Eastern
Government Effectiveness: Estimate,Uganda,2002,-0.421432197,Eastern
Government Effectiveness: Estimate,Uganda,2003,-0.343573838,Eastern
Government Effectiveness: Estimate,Uganda,2004,-0.34450835,Eastern
Government Effectiveness: Estimate,Uganda,2005,-0.538458049,Eastern
Government Effectiveness: Estimate,Uganda,2006,-0.481103897,Eastern
Government Effectiveness: Estimate,Uganda,2007,-0.409080625,Eastern
Government Effectiveness: Estimate,Uganda,2008,-0.57443428,Eastern
Government Effectiveness: Estimate,Uganda,2009,-0.616433978,Eastern
Government Effectiveness: Estimate,Uganda,2010,-0.520315945,Eastern
Government Effectiveness: Estimate,Uganda,2011,-0.509824455,Eastern
Government Effectiveness: Estimate,Uganda,2012,-0.568042636,Eastern
Government Effectiveness: Estimate,Uganda,2013,-0.573782265,Eastern
Government Effectiveness: Estimate,Uganda,2014,-0.398749471,Eastern
Government Effectiveness: Estimate,Zambia,1996,-1.060415506,Eastern
Government Effectiveness: Estimate,Zambia,1998,-0.856424332,Eastern
Government Effectiveness: Estimate,Zambia,2000,-0.858294964,Eastern
Government Effectiveness: Estimate,Zambia,2002,-0.80718869,Eastern
Government Effectiveness: Estimate,Zambia,2003,-0.822519541,Eastern
Government Effectiveness: Estimate,Zambia,2004,-0.816421926,Eastern
Government Effectiveness: Estimate,Zambia,2005,-0.936100662,Eastern
Government Effectiveness: Estimate,Zambia,2006,-0.813187182,Eastern
Government Effectiveness: Estimate,Zambia,2007,-0.711297512,Eastern
Government Effectiveness: Estimate,Zambia,2008,-0.72927624,Eastern
Government Effectiveness: Estimate,Zambia,2009,-0.791140139,Eastern
Government Effectiveness: Estimate,Zambia,2010,-0.830014825,Eastern
Government Effectiveness: Estimate,Zambia,2011,-0.63576287,Eastern
Government Effectiveness: Estimate,Zambia,2012,-0.499716699,Eastern
Government Effectiveness: Estimate,Zambia,2013,-0.516697288,Eastern
Government Effectiveness: Estimate,Zambia,2014,-0.468505681,Eastern
Government Effectiveness: Estimate,Zimbabwe,1996,-0.22869052,Eastern
Government Effectiveness: Estimate,Zimbabwe,1998,-0.36506623,Eastern
Government Effectiveness: Estimate,Zimbabwe,2000,-0.779337704,Eastern
Government Effectiveness: Estimate,Zimbabwe,2002,-0.900191724,Eastern
Government Effectiveness: Estimate,Zimbabwe,2003,-0.954200387,Eastern
Government Effectiveness: Estimate,Zimbabwe,2004,-0.951487958,Eastern
Government Effectiveness: Estimate,Zimbabwe,2005,-1.285313368,Eastern
Government Effectiveness: Estimate,Zimbabwe,2006,-1.304499149,Eastern
Government Effectiveness: Estimate,Zimbabwe,2007,-1.27110517,Eastern
Government Effectiveness: Estimate,Zimbabwe,2008,-1.497362018,Eastern
Government Effectiveness: Estimate,Zimbabwe,2009,-1.51621604,Eastern
Government Effectiveness: Estimate,Zimbabwe,2010,-1.495200276,Eastern
Government Effectiveness: Estimate,Zimbabwe,2011,-1.357646942,Eastern
Government Effectiveness: Estimate,Zimbabwe,2012,-1.198275089,Eastern
Government Effectiveness: Estimate,Zimbabwe,2013,-1.184409857,Eastern
Government Effectiveness: Estimate,Zimbabwe,2014,-1.175939083,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,1996,-2.10554719,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,1998,-2.345206022,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2000,-2.085460663,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2002,-1.615179181,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2003,-1.02709353,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2004,-1.039207458,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2005,-0.893931925,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2006,-0.540907264,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2007,-0.696600735,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2008,-0.349961519,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2009,-0.369803935,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2010,-0.216324866,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2011,-0.360322207,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2012,-0.380921721,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2013,-0.385451436,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Angola,2014,-0.2733486,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,1996,0.960007131,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,1998,0.661969006,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2000,0.72059232,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2002,0.740132213,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2003,0.666792572,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2004,0.25720799,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2005,0.450789601,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2006,0.517111957,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2007,0.33381927,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2008,0.333919913,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2009,0.375290126,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2010,0.222299322,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2011,0.293342948,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2012,0.319024265,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2013,0.260614425,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Benin,2014,0.049571123,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,1996,0.92311126,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,1998,0.873864591,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2000,0.955815434,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2002,0.79159075,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2003,1.078297615,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2004,0.887640834,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2005,1.056233168,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2006,0.963136435,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2007,0.982903421,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2008,0.984753847,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2009,0.931979239,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2010,0.960707545,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2011,1.050535679,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2012,1.080130339,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2013,1.08115077,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Botswana,2014,1.021890044,Southern
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,1996,-0.414000005,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,1998,-0.20007287,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2000,-0.013157605,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2002,-0.367371678,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2003,0.035528481,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2004,-0.106681474,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2005,-0.075130865,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2006,0.146304399,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2007,0.286871403,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2008,0.096509613,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2009,0.01499036,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2010,-0.147422716,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2011,-0.58167398,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2012,-0.586723924,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2013,-0.795505404,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burkina Faso,2014,-0.787618876,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,1996,-2.243051767,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,1998,-2.428836584,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2000,-2.151370287,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2002,-2.39139843,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2003,-2.305670738,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2004,-2.513827562,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2005,-1.514644861,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2006,-1.396649837,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2007,-1.3170681,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2008,-1.631292343,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2009,-1.267571449,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2010,-1.596097827,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2011,-1.784853339,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2012,-1.685397863,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2013,-1.310161352,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Burundi,2014,-0.893656909,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,1996,0.944107831,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,1998,1.026515722,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2000,1.122418046,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2002,0.655576229,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2003,0.907076597,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2004,1.067602158,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2005,0.781964123,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2006,0.96762532,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2007,0.901236534,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2008,0.828095973,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2009,0.842547596,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2010,0.857144117,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2011,0.723417044,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2012,0.809150875,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2013,0.773594141,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cabo Verde,2014,0.407537848,Western
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,1996,-1.065714717,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,1998,-0.824816883,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2000,-0.566852391,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2002,-0.722113729,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2003,-0.470079631,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2004,-0.397756249,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2005,-0.176222757,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2006,-0.263517499,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2007,-0.337433755,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2008,-0.550778568,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2009,-0.482048452,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2010,-0.72685653,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2011,-0.661322892,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2012,-0.576565444,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2013,-0.530078471,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Cameroon,2014,-0.944601476,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,1996,-1.372483373,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,1998,-1.290755987,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2000,-1.296871662,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2002,-1.88406229,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2003,-1.590470791,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2004,-1.409353852,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2005,-1.42369175,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2006,-1.839425445,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2007,-1.829653621,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2008,-1.830097437,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2009,-1.882708549,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2010,-2.011910915,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2011,-1.784924269,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2012,-1.871964574,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2013,-2.179641962,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Central African Republic,2014,-2.672609091,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,1996,-1.098161459,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,1998,-1.409789324,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2000,-1.248731017,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2002,-1.699307442,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2003,-1.413475037,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2004,-1.495437503,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2005,-1.393231511,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2006,-1.809657693,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2007,-1.859990597,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2008,-1.970427275,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2009,-1.689200044,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2010,-1.512288094,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2011,-1.315071106,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2012,-1.056724668,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2013,-1.103432178,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Chad,2014,-1.533385873,Central
Political Stability and Absence of Violence/Terrorism: Estimate,Comoros,1996,0.375238299,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Comoros,1998,0.447334021,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Comoros,2000,-0.106957741,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Comoros,2002,0.254781246,Eastern
Political Stability and Absence of Violence/Terrorism: Estimate,Comoros,2003,-0.715081513,Eastern
