,country,year,value,region,democraticStatus,freedomStatus,populaiton,overview,freedomRating,cL,pL,url
Democracy Index,Namibia,2014,6.24,Southern,Yes,Free,2458830,"Namibians went to the polls in November 2014 in Africa�s first electronic vote. The South West Africa People�s Organization (SWAPO) won in a field of 16 political parties. In an unsurprising victory, Hage Geingob replaced Hifikepunye Pohamba as president.

The Third Constitutional Amendment Bill, passed in August 2014, comprised 40 alterations to the constitution. Notable changes included the size of the legislature, new president-appointed members of parliament, limits on the National Council�s power to review certain bills, and granting of power to the president to appoint the head of the intelligence agency. SWAPO was criticized for rushing passage of the new law, which was seen to be in its favor given its dominant position in politics, in advance of the elections.",2,2,2,https://freedomhouse.org/report/freedom-world/2015/namibia
Democracy Index,Niger,2014,4.02,Western,Yes,Partly Free,19899120,"The situation in Northern Niger became increasingly dangerous in 2014, as militants have moved more frequently along the country�s borders with Mali and Libya and Nigeria�s Boko Haram moved its base close to the Niger border. On October 3, nine Nigerien peacekeepers were ambushed in Mali, but President Mahamadou Issoufou stated that his troops will continue to stay in the country. On October 9, the French army attacked a convoy of Al-Qaeda in the Islamic Maghreb (AQIM) militants in Niger delivering weapons to Mali, and arrested some of its fighters. Attacks on October 31 near a camp for Malian refugees resulted in the deaths of nine Nigerien policemen. On November 19, another attack on Niger�s western border with Mali led to gunfight with the Nigerien army.

In June 2014, an arrest warrant was issued for Niger�s parliamentary speaker and leading opposition figure Hama Amadou, for suspicion of participation in child trafficking. As many as 20 people, including high-level officials and Amadou�s wife, were arrested in the case. Amadou fled the country in August and maintains that charges against him are politically motivated. He had turned against president Issoufou in 2013.

Already one of the world�s poorest countries, Niger has been ravaged by extreme food shortages since a 2009 drought. In addition, 1,300 cases of cholera in 2014 have resulted in more than 51 deaths, while health workers issued a warning of a malaria outbreak in September. Niger is still home to about 50,000 Malian refugees, as well as 12,000 Nigerians who more recently have fled the incursion of Boko Haram into their villages.",3.5,4,3,https://freedomhouse.org/report/freedom-world/2015/niger
Democracy Index,Nigeria,2014,3.76,Western,No,Partly Free,182201962,"The security situation in northeastern Nigeria reached crisis proportions in 2014, as the militant Islamist group known as Boko Haram (formally Jama�atu Ahlis Sunna Lidda�Awati Wal-Jihad, or People Committed to the Propagation of the Prophet�s Teachings and Jihad) increased the scope and intensity of its insurgency in the states of Adamawa, Borno, and Yobe. Boko Haram�s attacks and the Nigerian government�s counterinsurgency operations resulted in at least 10,850 deaths during the year. In May, the UN Security Council added Boko Haram to its list of organizations subject to targeted financial sanctions and an arms embargo, following the U.S. Department of State�s designation of the group as a foreign terrorist organization in 2013.

The government has been widely criticized for its ineffective response to Boko Haram�s attacks and human rights abuses, including the group�s high-profile April 2014 kidnapping of approximately 275 girls from a school in Chibok, Borno State. Reports from domestic and international advocacy groups in 2014 indicated that government forces involved in the fight against Boko Haram continued to commit gross human rights violations with impunity, including extrajudicial killings, arbitrary mass arrests, illegal detentions, and torture of civilians.

Political parties were preparing for the February 2015 presidential and parliamentary elections during the year. In December, the ruling Peoples Democratic Party (PDP) chose incumbent Goodluck Jonathan as its presidential candidate, and the All Progressives Congress (APC), the main opposition party, selected former military ruler Muhammadu Buhari. There were concerns that the elections might have to be postponed in the northeastern states most affected by the Boko Haram insurgency.",4.5,5,4,https://freedomhouse.org/report/freedom-world/2015/nigeria
Democracy Index,Rwanda,2014,3.25,Eastern,No,Not Free,11609666,"In April 2014, Rwanda commemorated the 20th year anniversary of the 1994 genocide, in which the majority ethnic Hutus killed as many as one million minority Tutsis and moderate Hutus. Around the commemoration period, numerous independent journalists were harassed or arrested, with charges against them including inciting violence and attempting to overthrow the government. The repressive media environment led a number of journalists to flee the country, and there was notable harassment of foreign journalists critical of the government.

The space for free and private discussion decreased amid indications the government was monitoring private communications following the 2013 enactment of the Law Relating to the Interception of Communications. The law authorizes security officials to monitor the communications of individuals considered to be potential threats to �public security.� Authorities intermittently censored a growing number of independent online news outlets and opposition blogs.

Threats and attacks against critical opposition members residing outside of Rwanda increased. There were multiple forced disappearances. Patrick Karegeya, the former head of Rwanda�s external intelligence services, was found dead in South Africa in January. Efforts to dismantle civil society organizations that criticize the government continued. In November, two members of the Rwandan League for the Promotion and Defense of Human Rights (LIPRODHOR) known for their criticism of the government were arrested for allegedly forging documents that would oust the organization�s progovernment leadership.",6,6,6,https://freedomhouse.org/report/freedom-world/2015/rwanda
Democracy Index,Sao Tome and Principe,2014,0,Central,Yes,Free,31781,"In October 2014, the country held simultaneous elections on the municipal, regional, and national levels. Of the 13 parties that participated in the elections, the Independent Democratic Action party (ADI) emerged as the winner, expanding its presence both in the National Assembly and at the local level. The Movement for the Liberation of S�o Tom� and Pr�ncipe�Social Democratic Party (MLSTP-PSD) and the Democratic Convergence�Reflection Group (PCD-GR) sustained significant losses.

The country�s economy continued to grow but remained dependent on international aid.",2,2,2,https://freedomhouse.org/report/freedom-world/2015/s-o-tom-and-pr-ncipe
Democracy Index,Senegal,2014,6.15,Western,Yes,Free,15129273,"Municipal elections held in June 2014 led to some losses by ruling coalition candidates in major urban areas; the elections were deemed free and fair by local election observers. A trial against Karim Wade, son of former president Abdoulaye Wade, began in July in the Court of Repression of Illicit Enrichment (CREI), where he is accused of illicit enrichment. Abdoulaye Wade, who had left Senegal after losing the 2012 presidential election, returned in the midst of the CREI investigation in April. The Senegalese Democratic Party (PDS), which he founded in 1974, requested permission to publicly assemble upon his return, but authorities denied the request.

In February, Senegal drew criticism for the imprisonment of two men reported to have engaged in same-sex relations. The detentions of rapper and activist Malal Talla and of former energy minister Samuel Sarr in June and August, respectively, also evoked public disapproval; both men were detained after expressing criticism of government officials.",2,2,2,https://freedomhouse.org/report/freedom-world/2015/senegal
Democracy Index,Seychelles,2014,0,Eastern,Yes,Partly Free,92900,"In 2014, Seychelles took steps to increase national unity, including by removing a controversial statue linked to a 1977 coup.

Following an address by President James Michel to the UN Climate Summit, the World Bank approved funding of $7 million of aid to assist the country with natural disasters associated with climate change. Corruption, drug trafficking, and extensive money laundering remain problems in the country.",3,3,3,https://freedomhouse.org/report/freedom-world/2015/seychelles
Democracy Index,Sierra Leone,2014,4.56,Western,Yes,Partly Free,6453184,"Sierra Leonean politics in 2014 were dominated by the Ebola epidemic in West Africa, as the country dealt with the worst outbreak of the disease in history. The government was criticized for its slow response and for the extreme measures it took, such as �closing down� the entire country to curb the spread of the virus. In October, in what public health workers described as an admission of defeat, the government approved plans to help families care for Ebola patients at home rather than seek treatment at overburdened, understaffed clinics and hospitals. The rate of transmission surged in the latter months of the year.

Corruption remained rampant. The Sierra Leone Anti-Corruption Commission (ACC) has been repeatedly criticized for its poor prosecutorial record, especially in trials involving the president�s friends, family, and political allies. The commission did, however, succeed in defending against appeal the prison sentences of three tax officials and two bankers�the most severe corruption-related sentences imposed to date under the ACC.

The administration of President Ernest Bai Koroma continues to suppress media freedoms through onerous libel and sedition laws. Still, the government was less aggressive than its neighbors (notably Liberia) in persecuting journalists under the pretense of protecting public health during the Ebola crisis.",3,3,3,https://freedomhouse.org/report/freedom-world/2015/sierra-leone
Democracy Index,Somalia,2014,0,Eastern,No,Not Free,1245015,"The Somali government was plagued by political infighting in 2014, as parliament brought a no-confidence motion against Prime Minister Abdiweli Sheikh Ahmed. The incident marked the second consecutive year in which a prime minister was dismissed.

The Shabaab, an extremist group that once controlled most of southern Somalia, remained an active presence in the country despite significant gains made by the joint Somali National Army�African Union mission against it. The Shabaab attacked the presidential palace three times in 2014 and killed five members of parliament in targeted assassinations. In September, Shabaab commander Ahmed Abdi Godane was killed by a U.S. drone attack. Following Godane�s death, the Somali government provided amnesty for Shabaab defectors through the end of the year; the administration announced in late September that more than 500 militants had already accepted the offer. In December, the Shabaab attacked an African Union military base in Somalia in retaliation for Godane�s assassination, killing three Ugandan soldiers and a civilian. Subsequently, Somali government forces captured Shabaab intelligence chief Zakariya Ismail Ahmed Hersi.

Although the government remained publicly committed to holding a constitutional referendum in 2015 and national elections in 2016, little was done in 2014 to develop the country�s electoral framework. Critical election-related legislation, including laws on an election commission and political parties, had yet to be drafted by year�s end, and government officials were privately considering alternative options.",7,7,7,https://freedomhouse.org/report/freedom-world/2015/somalia
Democracy Index,South Africa,2014,7.82,Southern,Yes,Free,1245015,"In May 2014, South Africa held national elections that were considered free and fair by domestic and international observers. However, there were growing concerns about a decline in prosecutorial independence, labor unrest, and political pressure on an otherwise robust media landscape. South Africa continued to be marked by high-profile corruption scandals, particularly surrounding allegations that had surfaced in 2013 that President Jacob Zuma had personally benefitted from state-funded renovations to his private homestead in Nkandla, KwaZulu-Natal.

The ruling African National Congress (ANC) won in the 2014 elections with a slightly smaller vote share than in 2009. The newly formed Economic Freedom Fighters (EFF), a populist splinter from the ANC Youth League, emerged as the third-largest party. The subsequent session of the National Assembly was more adversarial than previous iterations, including at least two instances when ANC leaders halted proceedings following EFF-led disruptions.

Beginning in January, the Association of Mineworkers and Construction Union (AMCU) led a five-month strike in the platinum sector, South Africa�s longest and most costly strike. The strike saw some violence and destruction of property, though less than AMCU strikes in 2012 and 2013. The year also saw continued infighting between rival trade unions. The labor unrest exacerbated the flagging of the nation�s economy and the high unemployment rate, which stood at approximately 25 percent nationally and around 36 percent for youth.",2,2,2,https://freedomhouse.org/report/freedom-world/2015/south-africa
Democracy Index,South Sudan,2014,0,Eastern,0,Not Free,12339812,"A political dispute between South Sudan�s president Salva Kiir and his former vice president, Riek Machar, triggered intraarmy clashes at the end of 2013 that tipped the country into a full-scale civil war in 2014. The fighting quickly assumed ethnic dimensions, with targeted killings carried out by both sides. As in previous conflicts, civilians were not only caught up in the fighting, but were specifically targeted by the combatants�even as they took shelter in hospitals, places of worship, and UN facilities.

Serious fighting engulfed 3 of South Sudan�s 10 states, with the heaviest clashes taking place in the oil-producing states of Upper Nile and Unity, as well as in adjacent Jonglei state; in all three states, large numbers of soldiers from the Sudan Peoples� Liberation Army (SPLA) defected to the opposition. Both sides drew support from an assortment of domestic and foreign militia groups.

A cessation of hostilities agreement reached in January made little difference on the ground. Both sides continued to interfere with humanitarian access to the worst-affected areas and appeared immune to international pressure, including the announcement of sanctions by the United States and European Union against some of the key protagonists. Negotiations dragged on, with neither side showing any urgency to end the fighting.

By the end of the year, an estimated 1.9 million people had been displaced by the conflict. Almost 100,000 were taking shelter at UN bases throughout the country. The scale of disruption led to severe food shortages and warnings of famine by mid-year. Although conditions stabilized somewhat in the following months, the United Nations estimated that 6.4 million people would face food insecurity at the start of 2015. Estimates of the dead varied wildly but the International Crisis Group considered its figure of 50,000 to be conservative.",6.5,6,7,https://freedomhouse.org/report/freedom-world/2015/south-sudan
Democracy Index,Sudan,2014,2.54,Eastern,No,Not Free,40234882,"The year 2014 began with fragile hopes of political change when, in a widely anticipated speech in January, President Omar al-Bashir announced his willingness to revive all-party discussions on political reform and a new constitution. The opposition political alliance, the National Consensus Forces, declared its intention to take part, and al-Bashir�s former-ally-turned-opponent, Hassan al-Turabi, publically made peace with the president in March.

The ruling National Congress Party (NCP)�s renewed pressure on opponents soon obscured this optimism. The so-called National Dialogue failed to achieve results, and by the spring, participants were accusing the NCP of acting in bad faith and stalling the negotiations to perpetuate its hold on power. In summer, many of Sudan�s parties�the exception being al-Turabi�s Popular Congress Party�had again lined up against the NCP, signing a pact with the main armed opponents of the regime, the Sudan Revolutionary Front (SRF), in August. The document called for the formation of a transitional all-party government that would convene a constitutional conference.

In October President al-Bashir was nominated as the NCP�s candidate in presidential elections scheduled for April 2015. The opposition claimed this timetable was too short to conduct a meaningful National Dialogue or complete reforms needed to level the electoral field. In December, political parties, the SRF, and civil society groups issued a comprehensive plan for political and economic reform and resolution of the country�s multiple conflicts. The authorities responded by arresting three of the document�s the leading signatories, who remained in custody without charge at year�s end.

Meanwhile, Sudan�s multiple conflicts raged on: in Darfur, South Kordofan, and Blue Nile. There was a marked deterioration in the security situation in Darfur, where an upsurge in fighting displaced half a million people in the first six months of the year alone.",7,7,7,https://freedomhouse.org/report/freedom-world/2015/sudan
Democracy Index,Swaziland,2014,3.09,Southern,No,Not Free,1286970,"Swaziland faced a number of restrictions on freedom of expression, political freedoms, and judicial independence in 2014. The imprisonment of two journalists, the increasing encroachment of the king�s power over the judiciary, and the opening of the underutilized $250-million King Mswati III International Airport all contributed to the country�s ongoing financial troubles.

In June, Swaziland lost its preferred trading status under the United States�s African Growth and Opportunity Act after failing to meet the human rights requirements stipulated in the agreement. This is likely to result in loss of income for thousands of workers who rely on the export of textiles and garments for employment. In the 2014 Ibrahim Index of African Governance, Swaziland ranked 46 out of 52 countries surveyed. In November, the UN Food and Agriculture Organization reported that 35.8 percent of Swaziland�s 1.3 million population are undernourished, the seventh highest rate in the world.

According to UNAIDS, Swaziland continues to report the world�s highest rate of HIV infection, with 27.4 percent of Swazis between the ages of 15 and 49 living with the disease.",6,5,7,https://freedomhouse.org/report/freedom-world/2015/swaziland
Democracy Index,Tanzania,2014,5.77,Eastern,Yes,Partly Free,53470420,"Tanzania�s constitutional reform process, ongoing since 2012, was delayed in April 2014 when the country�s main political opposition parties boycotted the drafting process and rejected the Constituent Assembly�s (CA) charter over complaints that the ruling Chama Cha Mapinduzi (CCM) party was controlling the process. Nevertheless, the CCM used its majority in the 640-member CA to pass a controversial draft constitution in October and announced that a nationwide referendum would take place as scheduled in April 2015. Political opposition, dominated by the Chama cha Demokrasia na Maendeleo (CHADEMA) party, initiated legal action to block the referendum and announced a campaign against the draft.

Tanzania�s economic outlook dimmed after several international donors froze $500 million in aid to the country in October, following reports that several high-level government officials diverted central bank funds for personal gain. Tanzania�s parliamentary public accounts committee, which is responsible for investigating the allegations, has called for the dismissal of several senior government officials, the first of whom were removed in December.",3,3,3,https://freedomhouse.org/report/freedom-world/2015/tanzania
Democracy Index,Togo,2014,3.45,Western,No,Partly Free,7304578,"Togo experienced a political impasse in 2014 over a number of proposed reforms in the lead-up to the 2015 presidential election. Negotiations over changes to the constitution and to the electoral framework failed; disagreement between opposition parties and President Faure Gnassingb��s Union for the Republic (UNIR) party led to inaction on contested points, including the lack of presidential term limits.

Opposition groups, including the Rainbow Coalition and the Save Togo Collective (CST), had decreased sway with the public due to their poor performance in the 2013 legislative elections. In contrast, recent economic improvements contributed to the expansion of President Gnassingb��s popularity beyond his traditional base of support in the North. In October 2014, Gnassingb� formally announced his candidacy for the 2015 presidential election.",4,4,4,https://freedomhouse.org/report/freedom-world/2015/togo
Democracy Index,Uganda,2014,5.22,Eastern,No,Not Free,39032383,"In 2014, the implementation of the Public Order Management Act (POMA), the Anti-Homosexuality Act (AHA), and the Anti-Pornography Act (APA) led to increased discrimination, harassment, and abuses against the opposition, civil society, the LGBT (lesbian, gay, bisexual, and transgender) community, and women due to harsh and discriminatory provisions in the vaguely worded laws. Although the Constitutional Court struck down the AHA on a technicality in August 2014, a climate of fear and intimidation persists for LGBT individuals, and supporters of the legislation are planning to reintroduce it. Meanwhile, the government continued to crack down on civil society groups that focus on a wide range of sensitive issues.

The year 2014 was also marked by increased infighting in the long-ruling National Resistance Movement (NRM) party in advance of a 2016 presidential election, culminating in the September firing of Prime Minster Amama Mbabazi by President Yoweri Museveni. The 70-year-old Museveni, a former rebel leader who took power in 1986, is widely expected to run for another term, and Mbabazi, an NRM veteran, had been seen as a potential challenger.",5.5,5,6,https://freedomhouse.org/report/freedom-world/2015/uganda
Democracy Index,Zambia,2014,6.39,Eastern,Yes,Partly Free,16211767,"President Michael Sata, 77, died on October 28, 2014, at a London hospital, becoming the second Zambian president to die in office since 2008 and confirming long-standing rumors that he was seriously ill. Although Sata had appointed Defense and Justice Minister Edgar Lungu, who was also the secretary general of the ruling Patriotic Front (PF) party, acting president when he left the country October 19 for medical treatment, Vice President Guy Scott assumed the presidency upon Sata�s death. This was in accordance with the constitution, though initially there was some contention in the party surrounding Scott�s elevation. An election for Sata�s successor was scheduled for January 20, 2015; the ballot is required to be held within 90 days of the incumbent�s death. Scott, whose parents were born in Britain, is constitutionally barred from running for president. The president�s death deepened existing divisions in the PF over the selection of a successor to the longtime party leader, and tensions between Scott and Lungu precipitated public rifts in the PF. By late December, however, these rifts were healed, at least publicly, and Scott and most PF leaders fell in behind Lungu�s candidacy.

Sata died just four days after Zambia marked 50 years of independence from the United Kingdom. In what was seen as an attempt to appease critics, the PF-led government released to the public the long-delayed draft of a new constitution on the day before the Golden Jubilee celebrations. The draft contained certain popular provisions, such as a requirement that presidential candidates gain more than 50 percent of the vote to win and that the vice president be an elected running mate to the president. In November, a coalition of civil society groups and church organizations that had been monitoring the constitution-making process gave its approval to the draft. However, the road map for the finalization process remained unclear, and observers questioned whether a promised national referendum would ever be held.

Much of 2014 was dominated by speculation about the state of Sata�s health; he was out of the country or absent from public view for most of the year. Little progress was made on long-promised PF initiatives such as improving the economy, rooting out corruption, and media-sector reforms. The use of repressive laws and policies against government critics continued throughout much of the year, although this subsided somewhat after Sata�s death, as the PF�s focus turned inward.",3.5,4,3,https://freedomhouse.org/report/freedom-world/2015/zambia
Democracy Index,Zimbabwe,2014,2.78,Eastern,No,Partly Free,15602751,"The year 2014 was characterized by extensive political turmoil in Zimbabwe under the leadership of President Robert Mugabe and the Zimbabwe African National Union-Patriotic Front (ZANU-PF) party. Though ZANU-PF has enjoyed a two-thirds majority since elections in 2013, it has been troubled by intraparty divisions that have hindered its ability to govern. In December, Mugabe fired Vice President Joice Mujuru, long viewed as his successor, after she was accused of plotting against him. Nine ministers and six deputies loyal to Mujuru also lost their posts, and Mujuru was expelled from ZANU-PF. Mugabe promoted her main rival, Emmerson Mnangagwa, to continue as vice president and serve as acting president while Mugabe traveled at the end of 2014.

Zimbabwe�s constitution, adopted in 2013, includes strong guarantees of civil and political rights and strengthens checks on executive power, but implementation of reforms in 2014 has been slow. In November 2014, the constitution was amended to further centralize executive influence, granting the president powers to appoint several previously elected top positions in the country�s 49-member governing Politburo.

In September 2014, the government began demolishing thousands of residential plots it claimed were illegally constructed, as well as a transit camp settled by 18,000 victims of January 2014 floods.",5.5,6,5,https://freedomhouse.org/report/freedom-world/2015/zimbabwe
